homelon,homelat,homecontinent,n
-87.9064736,43.0389025,North America,2
-84.3879824,33.7489954,North America,8
-85.7584557,38.2526647,North America,2
-83.0457538,42.331427,North America,7
-81.3792365,28.5383355,North America,9
18.643501,60.12816100000001,Europe,3
144.9630576,-37.8136276,Australia,2
48.516388,15.552727,Asia,1
-80.0364297,26.7056206,North America,18
-76.28095859999999,36.8529144,North America,5
-80.6326916,25.5516034,North America,1
-77.1945247,41.2033216,North America,2
14.4378005,50.0755381,Europe,1
-3.435973,55.378051,Europe,5
-115.2837585,30.8406338,North America,1
-76.4839405,38.98206580000001,North America,1
-87.63139,41.890337,North America,1
-93.6091064,41.6005448,North America,12
-78.87835849999999,35.0526641,North America,2
-95.0860575,37.037998,North America,1
120.960515,23.69781,Asia,2
-77.781167,21.521757,North America,7
-71.5723953,43.1938516,North America,109
174.885971,-40.900557,Australia,1
-73.9712488,40.7830603,North America,8
-82.53065269999999,27.3364347,North America,4
-104.990251,39.7392358,North America,6
-105.7820674,39.5500507,North America,19
-119.8138027,39.5296329,North America,5
-82.4571776,27.950575,North America,12
-75.66241219999999,41.408969,North America,2
-75.5397878,39.7390721,North America,2
-85.6680863,42.9633599,North America,1
-106.650422,35.0843859,North America,1
-105.8700901,34.5199402,North America,5
-104.7091322,40.4233142,North America,1
6.1431577,46.2043907,Europe,1
-83.5378674,41.6528052,North America,4
-72.589811,42.1014831,North America,1
-84.28073289999999,30.4382559,North America,1
-80.0905465,26.5317866,North America,1
14.2681244,40.8517746,Europe,1
-81.6943605,41.49932,North America,12
-77.2310955,39.8309293,North America,1
-78.9219698,40.32674069999999,North America,2
-75.52766989999999,38.9108325,North America,2
20.0867909,32.1194242,Africa,1
-89.3985283,40.6331249,North America,6
-104.8213634,38.8338816,North America,2
-117.8311428,33.7174708,North America,1
-80.0533746,26.7153424,North America,3
-88.380659,39.4168843,North America,1
-90.19940419999999,38.6270025,North America,2
-96.1004348,36.0313881,North America,1
-83.4754913,42.48059,North America,1
-97.1430671,32.844017,North America,1
-88.2314813,43.0116784,North America,2
-120.7401385,47.7510741,North America,1
-79.9414266,37.2709704,North America,2
-80.8431267,35.2270869,North America,4
-95.99277500000001,36.1539816,North America,1
-75.1652215,39.9525839,North America,3
-75.1652215,39.9525839,North America,6
-97.092877,35.0077519,North America,8
-75.183458,44.602382,North America,1
-82.5514869,35.5950581,North America,1
-78.6568942,37.4315734,North America,1
95.955974,21.916221,Asia,1
-97.7430608,30.267153,North America,1
-80.13731740000001,26.1224386,North America,2
17.228331,26.3351,Africa,4
-76.6121893,39.2903848,North America,15
-90.88093599999999,32.386546,North America,1
-81.0228331,29.2108147,North America,2
-77.0085876,40.2142565,North America,1
11.5819805,48.1351253,Europe,1
-80.7214417,40.9871753,North America,1
-91.18714659999999,30.4514677,North America,2
-77.2166987,38.9243492,North America,1
-79.01929969999999,35.7595731,North America,1
-74.4229266,39.3642834,North America,24
-86.82050939999999,36.1075937,North America,6
44.3614875,33.3128057,Asia,2
90.356331,23.684994,Asia,1
-71.3824374,42.4072107,North America,6
-4.2026458,56.49067119999999,Europe,62
-2.0727839,53.7190281,Europe,1
-99.9018131,43.9695148,North America,1
-85.9766671,41.6819935,North America,1
-121.8863286,37.3382082,North America,6
-2.094278,57.149717,Europe,12
-121.4943996,38.5815719,North America,1
-117.9143012,33.8365932,North America,1
-120.5542012,43.8041334,North America,4
-99.9018131,41.4925374,North America,7
-95.9345034,41.2565369,North America,1
-79.93105120000001,32.7764749,North America,4
-86.25198979999999,41.6763545,North America,1
-121.9232879,36.5552386,North America,1
-87.5710898,37.9715592,North America,1
-71.4774291,41.5800945,North America,2
-75.6054882,39.9606643,North America,1
-78.8783689,42.88644679999999,North America,14
-74.1502007,40.5795317,North America,1
-76.14742439999999,43.0481221,North America,2
12.4963655,41.9027835,Europe,2
-73.7562317,42.6525793,North America,2
-74.0059728,40.7127753,North America,1
-88.0070315,43.0166806,North America,1
-88.41538469999999,44.2619309,North America,1
-75.0966509,19.9030921,North America,1
-110.9747108,32.2226066,North America,1
-111.8910474,40.7607793,North America,1
-80.1289321,26.3683064,North America,1
-114.7420408,44.0682019,North America,3
-157.8583333,21.3069444,North America,4
-97.33005299999999,37.68717609999999,North America,1
-90.0715323,29.95106579999999,North America,3
-82.82097399999999,42.7168759,North America,1
-122.6764815,45.5230622,North America,1
-91.8318334,35.20105,North America,3
-97.3307658,32.7554883,North America,2
-81.9651152,33.5018026,North America,1
-82.3940104,34.85261759999999,North America,4
-70.6672621,41.9584457,North America,1
-92.28959479999999,34.7464809,North America,1
-71.46756599999999,42.7653662,North America,3
-81.2362107,33.9815369,North America,1
-96.15269850000001,43.08699360000001,North America,1
-87.2089072,30.4164053,North America,1
-80.42341669999999,37.22838429999999,North America,1
-79.46125599999999,44.05918700000001,North America,1
36.238414,30.585164,Asia,1
-117.2897652,34.1083449,North America,1
-78.6381787,35.7795897,North America,2
-2.13125,49.214439,Europe,1
-74.0776417,40.72815749999999,North America,1
-77.47526669999999,38.7509488,North America,1
-84.01674229999999,33.9190653,North America,1
-93.255023,44.975915,North America,1
-83.6324022,32.8406946,North America,2
-74.4056612,40.0583238,North America,1
-78.8866943,33.6890603,North America,9
-78.8866943,33.6890603,North America,1
-82.99879419999999,39.9611755,North America,1
-83.9207392,35.9606384,North America,2
-97.4406496,37.7564291,North America,1
-123.1207375,49.2827291,North America,8
-119.8138027,39.5296329,North America,1
-96.40030689999999,42.4999942,North America,2
-81.65565099999999,30.3321838,North America,5
-88.3850956,42.2212002,North America,3
-72.8723402,41.3944266,North America,1
-104.939108,39.686159,North America,1
-98.49362819999999,29.4241219,North America,1
-73.7477857,41.7784372,North America,3
-75.97798499999999,36.8529263,North America,1
-107.2902839,43.0759678,North America,1
-86.7816016,36.1626638,North America,1
-73.98768919999999,40.7575261,North America,1
-102.4107493,34.2331373,North America,3
-88.7878678,43.7844397,North America,1
-99.48032409999999,27.5305671,North America,2
-115.1398296,36.1699412,North America,2
-122.4194155,37.7749295,North America,1
113.878165,22.556222,Asia,1
-91.5960643,41.6822756,North America,2
-93.20103669999999,43.1535728,North America,4
-95.712891,37.09024,North America,1
-73.8648268,40.8447819,North America,12
-95.712891,37.09024,North America,1
29.154857,-19.015438,Africa,1
54.3773438,24.453884,Asia,1
22.937506,-30.559482,Africa,1
-79.9748103,32.8546197,North America,1
-77.6536125,39.076767,North America,1
-77.6077865,37.3673217,North America,1
-79.3831843,43.653226,North America,18
48.516388,15.552727,Asia,1
-72.5198537,42.3732216,North America,1
-1.1743197,52.3555177,Europe,1
136.2091547,-30.0002315,Australia,1
37.906193,-0.023559,Africa,15
-149.0729714,62.4113634,North America,2
100.992541,15.870032,Asia,2
113.921327,-0.789275,Asia,1
55.2707828,25.2048493,Asia,26
-51.92528,-14.235004,South America,1
-95.9009107,36.0611524,North America,1
-9.5259951,52.7308501,Europe,5
-73.9653551,40.7828647,North America,1
-98.0075888,30.2980919,North America,1
114.109497,22.396428,Asia,1
-75.69719309999999,45.4215296,North America,1
2.4369109,48.857088,Europe,1
-9.429499000000002,6.428055,Africa,1
-74.2606582,40.6409747,North America,1
-79.5490166,43.7990589,North America,1
-75.0550318,40.1105069,North America,1
-4.6679959,55.3649698,Europe,1
-4.6291994,55.4588988,Europe,1
-97.3478535,37.6837468,North America,1
-73.9653551,40.7828647,North America,1
-95.4004353,29.7192076,North America,1
-74.21793260000001,43.2994285,North America,3
-118.3492165,33.7683844,North America,1
2.1734035,41.3850639,Europe,1
-86.7956409,36.1314722,North America,1
-73.7948516,40.7282239,North America,1
-73.840231,41.1402322,North America,1
65.7371749,31.628871,Asia,1
-79.4694767,35.1954345,North America,1
-87.62309669999999,41.8190937,North America,1
-80.2907618,25.7050697,North America,1
-72.9307073,41.3066515,North America,1
-95.370026,35.7475692,North America,1
-87.6297982,41.8781136,North America,1
51.3889736,35.6891975,Asia,1
-73.9441579,40.6781784,North America,1
5.291265999999999,52.132633,Europe,1
-74.00684559999999,40.7234537,North America,1
-3.349008,55.12224500000001,Europe,1
