Liberal,Conservative,sentiment,Green,Libertarian,twitter_engagement,date,time
0.2063109875,0.1316625774,0.097657606,0.1253884584,0.5366379619,0.5904890625,04-02-2018,11:17:19
0.2315345854,0.2241428643,0.7791780233,0.1357886195,0.408533901,0.6587538102,04-02-2018,11:10:19
0.1198923811,0.3585419059,0.4679927826,0.0249516293,0.4966140389,0.6213108865,04-02-2018,11:02:30
0.288895905,0.1073085964,0.6277043819,0.3232333064,0.2805621922,0.6584093846,04-01-2018,14:28:19
0.1429316998,0.4372218847,0.3938859701,0.0106838234,0.4091626108,0.6689585304,04-01-2018,14:25:46
0.3824612498,0.2414141297,0.2399279326,0.058426097,0.3176985979,0.5714494871,04-01-2018,13:56:34
0.2149357945,0.2091666609,0.988489151,0.3588217795,0.21707578,0.3708871827,04-01-2018,12:27:02
0.0022586701,0.9169398546,0.6902858019,0.0002993073,0.0805021152,0.5407688672,03-31-2018,12:53:01
0.0907258242,0.1921535283,0.0494050868,0.0678520575,0.6492685676,0.5316001128,03-31-2018,12:52:59
0.2399374247,0.1971051544,0.0464987829,0.2921287715,0.2708286345,0.6719860153,03-31-2018,12:45:41
0.1795885116,0.2227844596,0.3330285847,0.3827587068,0.2148682773,0.409749131,03-30-2018,20:24:56
0.1284946501,0.1492885649,0.5424546003,0.2447474152,0.4774693847,0.6161343984,03-29-2018,20:06:37
0.1960736215,0.3673714399,0.7706997991,0.2420052737,0.1945496351,0.5653607697,03-29-2018,19:58:35
0.1591376066,0.0845306367,0.8758559823,0.6500496268,0.1062821522,0.7679128011,03-29-2018,19:44:06
0.0679895356,0.0877758637,0.8673560023,0.0500738397,0.7941607833,0.600966798,03-29-2018,11:57:38
0.1839334518,0.1624228656,0.9578794837,0.4819405377,0.1717031151,0.6670556348,03-28-2018,21:31:54
0.2603808641,0.2627421319,0.8940349817,0.3112216592,0.1656553149,0.5551720396,03-28-2018,21:31:08
0.180905506,0.1713816822,0.9247205853,0.5036510825,0.1440616548,0.5822522352,03-28-2018,19:47:02
0.2111731321,0.1683738679,0.464920193,0.294964999,0.3254880309,0.5977531165,03-28-2018,16:19:02
0.6652963161,0.1382949948,0.8584614396,0.0812780038,0.1151307672,0.5539718721,03-28-2018,16:18:44
0.2736462653,0.1772258133,0.9809033871,0.3041858077,0.244942084,0.642761476,03-28-2018,16:14:34
0.2572982609,0.1633230895,0.7290705442,0.3052981496,0.2740805149,0.6362864563,03-28-2018,10:16:26
0.2853770256,0.1285457015,0.979133904,0.3867860734,0.1992912292,0.7661428954,03-28-2018,10:05:18
0.2687204778,0.2078690678,0.4747737646,0.3511748314,0.1722356677,0.6493991433,03-28-2018,09:52:36
0.1418702155,0.1730429828,0.9828261137,0.2102071196,0.4748796225,0.6914263078,03-27-2018,18:35:06
0.2081231922,0.1655524373,0.5717810392,0.1174689755,0.5088555217,0.6413517671,03-27-2018,02:38:07
0.1775184274,0.151591152,0.9654434323,0.4058201611,0.2650701702,0.59808452,03-27-2018,00:44:52
0.2072095573,0.1817496121,0.8220546842,0.4092749953,0.2017658353,0.4377171865,03-26-2018,20:29:19
0.208534047,0.1853798628,0.3745470941,0.4232266545,0.1828593463,0.5734926903,03-26-2018,12:38:55
0.2198542804,0.2039993554,0.9687244296,0.3658138514,0.2103324085,0.6316562138,03-26-2018,11:05:40
0.2010119706,0.1581187099,0.8047700524,0.5506064892,0.0902629048,0.7325896929,03-26-2018,03:26:43
0.1942985207,0.1718671769,0.3797439039,0.4525477588,0.1812866032,0.490163885,03-25-2018,13:45:44
0.1710367054,0.1169366911,0.9564116001,0.5693445802,0.1426819712,0.630054171,03-25-2018,13:08:27
0.0963921919,0.1430849582,0.9280920029,0.1255695969,0.6349532008,0.6774800734,03-25-2018,11:49:16
